scenario,role,endpoint,concurrency,maxRequests,successRate,errorRate,throughput,latencyAvgMs,latencyP95Ms,latencyP99Ms,completed,failed,statusCounts
Beban Rendah,siswa,/api/dashboard/siswa,1,30,100.00,0.00,7.81,34.46,3.60,992.48,30,0,200=30
Beban Rendah,guru,/api/guru/dashboard/profil,1,30,100.00,0.00,69.77,5.10,11.12,109.60,30,0,200=30
Beban Rendah,admin,/api/admin/dashboard,1,30,100.00,0.00,28.93,25.23,11.09,712.62,30,0,200=30
Beban Rendah,kantin,/api/kantin/dashboard,1,30,100.00,0.00,20.12,38.46,2.28,1117.55,30,0,200=30
Beban Sedang,siswa,/api/dashboard/siswa,5,50,100.00,0.00,29.12,1.09,2.12,3.21,50,0,200=50
Beban Sedang,guru,/api/guru/dashboard/profil,5,50,100.00,0.00,142.05,2.20,3.54,5.77,50,0,200=50
Beban Sedang,admin,/api/admin/dashboard,5,50,100.00,0.00,85.47,3.43,5.58,10.99,50,0,200=50
Beban Sedang,kantin,/api/kantin/dashboard,5,50,100.00,0.00,142.86,1.97,3.05,4.86,50,0,200=50
Beban Tinggi,siswa,/api/dashboard/siswa,10,100,100.00,0.00,93.28,3.38,6.76,8.22,100,0,200=100
Beban Tinggi,guru,/api/guru/dashboard/profil,10,100,100.00,0.00,199.60,3.11,5.09,5.84,100,0,200=100
Beban Tinggi,admin,/api/admin/dashboard,10,100,100.00,0.00,241.55,2.27,3.34,3.90,100,0,200=100
Beban Tinggi,kantin,/api/kantin/dashboard,10,100,100.00,0.00,248.14,1.85,3.67,4.71,100,0,200=100
Beban Sangat Tinggi,siswa,/api/dashboard/siswa,50,1000,100.00,0.00,348.19,99.20,110.53,1352.09,1000,0,200=1000
Beban Sangat Tinggi,guru,/api/guru/dashboard/profil,50,1000,100.00,0.00,840.34,17.65,22.82,25.18,1000,0,200=1000
Beban Sangat Tinggi,admin,/api/admin/dashboard,50,1000,100.00,0.00,847.46,18.88,25.58,28.69,1000,0,200=1000
Beban Sangat Tinggi,kantin,/api/kantin/dashboard,50,1000,100.00,0.00,815.66,23.22,27.86,29.61,1000,0,200=1000
Beban Ekstrem,siswa,/api/dashboard/siswa,100,2000,100.00,0.00,692.76,63.89,142.57,190.09,2000,0,200=2000
Beban Ekstrem,guru,/api/guru/dashboard/profil,100,2000,100.00,0.00,929.80,38.20,67.67,71.47,2000,0,200=2000
Beban Ekstrem,admin,/api/admin/dashboard,100,2000,100.00,0.00,743.22,57.19,84.78,277.32,2000,0,200=2000
Beban Ekstrem,kantin,/api/kantin/dashboard,100,2000,100.00,0.00,684.93,79.40,84.12,920.36,2000,0,200=2000
